sec,group_name,project_title,project_note,proposal(4),monitoring(5),monitoring_note,noti(5),noti_note,control(5),control_note,storage(5),storage_note,logic(5),logic_note,slide(3),slide_note,present(3),present_note,total,abet,abet_note,group_key
001/801,Sec1: Four Angry,ระบบตรวจสอบคุณภาพผลิตภัณฑ์,0,4,4.0,0,3.5,0,3.5,0,3.5,0,4.0,0,3,0,3,0,28.5,2.0,0,sec1:fourangry
001/801,Sec1: PPG,ระบบตรวจจับการแต่งการของพนักงาน,Dress Dection,4,4.0,0,4.0,0,4.0,0,3.5,0,4.0,No need for object detection,3,0,3,0,29.5,1.0,0,sec1:ppg
001/801,Sec1: กลุ้ม,ระบบตรวจสินค้ากระป๋อง,0,4,3.5,0,3.5,0,4.0,0,3.5,0,4.0,0,3,0,3,0,28.5,0.0,0,sec1:กลุ้ม
001/801,Sec1: น้ำเต้าหู้หวานน้อย,ระบบตรวจสอบเครื่องจักร แบบ Real Time,RTMMS,4,4.0,0,4.0,2 Notifs,3.0,One Btn,3.5,One data,3.5,0,3,0,3,0,28.0,1.0,0,sec1:น้ำเต้าหู้หวานน้อย
001/801,Sec1: เพชรเห็นเพชรแทงนะคะ,ระบบตรวจจับสภาพอากาศ,PM 2.5,4,3.5,0,4.0,0,3.5,0,4.0,0,4.0,0,3,0,3,0,29.0,1.0,0,sec1:เพชรเห็นเพชรแทงนะคะ
001/801,Sec1: ลูกหมู3ตัว,ระบบตรวจสอบการแต่งการของพนักงาน,พนักงานเดินผ่าน ถ่ายรูปอัตโนมัติ,4,3.5,0,4.5,0,4.5,0,4.0,0,3.4,0,3,0,3,0,29.9,2.0,0,sec1:ลูกหมู3ตัว
001/801,Sec1: สาม,ระบบตรวจระดับน้ำตอนเติมน้ำในแก้ว,แนะนำ Machine Learning,4,5.0,OK,4.5,OK,5.0,0,4.5,0,4.5,0,3,0,3,0,33.5,4.0,0,sec1:สาม
001/801,Sec1: หารู้ไม่,ระบบตรวจระดับน้ำตอนเติมน้ำในขวด,Water Level,4,4.0,0,4.0,0,3.5,0,4.0,0,4.5,0,3,0,3,0,30.0,1.0,0,sec1:หารู้ไม่
001/801,Sec1: เหงาจัง,ระบบควบคุมอุณหภูมิ,Light Monitoring,4,3.5,0,3.5,0,4.0,0,4.0,0,3.5,0,3,0,3,Read slide,28.5,2.0,0,sec1:เหงาจัง
003/803,Sec3: eiei,ระบบเปิดปิดไฟอัตโนมัติ,Should be able to turn the system on/off manually or automatically,4,4.0,OK,4.0,OK,4.0,OK,4.0,One collection,4.0,OK,3,OK,3,OK,30.0,4.0,0,sec3:eiei
003/803,Sec3: Good morning,ระบบตรวจจับความเข้มข้นของ Gas,Use Light Sensor instead of pressure meter,4,4.0,OK,5.0,Telegram and sound,4.0,Turn off notification and turning on/off ventilation system (but does not affect the flow),5.0,Two collections,4.5,OK,3,OK,3,OK,32.5,4.0,0,sec3:goodmorning
003/803,Sec3: nguang-non,Inventory Tracking System,"Count stock in/out, notify summary after a certain period",4,4.0,OK,4.0,OK,5.0,Multiple controls,5.0,Two collections,4.5,OK,3,OK,3,OK,32.5,4.0,0,sec3:nguang-non
003/803,Sec3: no 123,ระบบตรวจจับสินค้าค้าง Stock,Should turn off auto noti,4,4.0,OK,4.0,OK,3.0,OK,4.0,One collection,3.5,OK,3,OK,3,OK,28.5,2.0,0,sec3:no123
003/803,Sec3: tew,ระบบแจ้งเตือนเครื่องจักรเสีย,Use NR Android Phone,4,3.0,OK,3.0,OK,3.0,OK,4.0,OK,3.0,OK,3,OK,3,OK,26.0,4.0,0,sec3:tew
003/803,Sec3: ไก่บักโจ้น,ระบบป้องการทกรกได้รับแสงมากเกินไปในห้อง IMCU,Use Light Sensor,4,4.0,OK,4.0,OK,3.0,OK,4.0,OK,3.5,OK,3,OK,3,OK,28.5,3.0,0,sec3:ไก่บักโจ้น
003/803,Sec3: นางฟ้าตัวน้อยของแม่,ระบบนับสินค้าอัตโนมัติด้วยกาตรวจจับการสั่นสะเทือน,"Use Vibration Sensor, Can input number for takeout",4,4.0,OK,4.5,OK,4.5,OK,5.0,OK,4.5,OK,3,OK,3,OK,32.5,3.0,0,sec3:นางฟ้าตัวน้อยของแม่
003/803,Sec3: ภูเพียง,ระบบตรวจจับการสั่นและแจ้งซ่อมบำรุง,ตรวจจับ Frequency ของการสั่น,4,3.0,Quite simple,3.0,"One type, no time",3.0,Reset button,1.5,Not implemented,2.5,Too simple,3,OK,3,Cannot describe code,23.0,0.0,0,sec3:ภูเพียง
003/803,Sec3: ไออีสีชมพู,ระบบนับสินค้าในคลัง,เอาเข้าด้วย Sensor ออกด้วยการพิม,4,4.0,OK,4.0,OK,4.0,OK,5.0,Two collections,4.0,OK,3,OK,3,OK,31.0,3.0,0,sec3:ไออีสีชมพู
004/804,Sec4: เซรั่มนารา,ระบบตรวจขนมปัง,Bread,4,5.0,0,5.0,0,4.0,0,5.0,0,5.0,0,3,0,3,0,34.0,1.0,0,sec4:เซรั่มนารา
004/804,Sec4: 001,ระบบตรวจจับความผิดพลาดในการผลิต,0,4,4.0,0,3.5,0,4.0,0,3.5,0,3.5,0,3,0,3,0,28.5,1.0,1 Person doing presentation,sec4:001
004/804,Sec4: ABC,ระบบตรวจจับการทำงานของพัดลมดูดกากาศ,Ventilation System,4,4.0,0,3.5,0,3.5,0,3.5,0,4.0,0,3,0,3,0,28.5,0.0,OK,sec4:abc
004/804,Sec4: eiei,ระบบควบคุมอุณหภูมิ เปิดเครื่องปรับอากาศ,Temperature Control,4,4.0,0,4.5,0,4.0,0,3.5,0,4.0,Separate condition,3,0,3,0,30.0,3.0,0,sec4:eiei
004/804,Sec4: gangster,ระบบนับ Stock ในคลัง Tissue,Tissue Check,4,3.5,0,3.5,One type,4.0,0,3.5,0,4.0,0,3,0,3,0,28.5,1.0,0,sec4:gangster
004/804,Sec4: Hello Universe,ระบบควบคุมอุณหภูมิ,Temperature Control System,4,4.0,0,4.0,0,4.0,0,4.0,0,4.0,0,3,0,3,0,30.0,3.0,One person did almost all node-red,sec4:hellouniverse
004/804,Sec4: Hiwmakkkk,ระบบ Clock in Clock Out,Face Regconition,4,3.5,0,4.0,0,3.5,0,4.0,0,3.5,0,3,0,3,0,28.5,1.0,OK,sec4:hiwmakkkk
004/804,Sec4: KiKi world,ระบบเปิดไฟตอนกลางคืน,ระบบเปิดไฟตอนกลางคืน,4,4.0,0,4.5,0,4.5,0,4.0,0,4.0,0,3,0,3,0,31.0,3.0,Returned,sec4:kikiworld
004/804,Sec4: เด้งเนย เนยเด้ง,ระบบตรวจ Lay,0,4,4.0,0,4.0,0,4.5,4 btns,3.5,1 DB,4.5,0,3,0,3,0,30.5,1.0,0,sec4:เด้งเนยเนยเด้ง
006/806,Sec6: jungdaikoboru,ระบบวัดระดับน้ำในท่อ,Use Ultrasonic,4,5.0,Nice dashboard,4.0,OK,4.0,OK,5.0,2 Collection,4.0,OK,3,OK,3,OK,32.0,4.0,0,sec6:jungdaikoboru
006/806,Sec6: Oppa Icy,Inventory Sorting System,Use ML,4,5.0,OK,5.0,OK,4.0,OK,5.0,OK,5.0,OK,3,OK,3,OK,34.0,4.0,0,sec6:oppaicy
006/806,Sec6: print(a),ระบบเปิดปิดไฟอัตโนมัติจากการผ่าน Sensor,Use IR Sensor,4,4.0,OK,3.5,One type,4.0,OK,4.0,One collection,4.0,Delay with cancel,3,OK,3,OK,29.5,3.5,0,sec6:print(a)
006/806,Sec6: บิดหมด ไม่สลดบิดอีก,ระบบนับสินค้าบนสายพาน,Use Mobile Sensor,4,4.0,OK,4.0,Two types,5.0,Good,4.0,One collection,4.0,OK,3,OK,3,OK,31.0,3.0,0,sec6:บิดหมดไม่สลดบิดอีก
006/806,Sec6: มา 3,ระบบตรวจการเสียหายของเครื่องจักรโดยอัตโนมัติ,"Should have ""Repair Done"" Btn",4,3.5,OK,4.0,OK,4.0,OK,4.0,OK,3.5,OK,3,OK,3,OK,29.0,4.0,0,sec6:มา3
006/806,Sec6: มี 2,ระบบฟอกอากาศในโรงงาน,Light Sensor instead of PM2.5,4,4.0,OK,4.0,"Two type, the other one is not important",4.0,OK,4.0,One collection,4.0,OK,3,OK,3,OK,30.0,4.0,0,sec6:มี2
006/806,Sec6: มีหนุ่มตี๋เป็นเส้นชัย,ระบบตรวจจับขโมยจากการสั่นของประตู,Use Vibration sensor,4,3.5,OK,4.0,OK,3.0,OK,4.0,OK,3.0,OK,3,OK,3,OK,27.5,1.0,0,sec6:มีหนุ่มตี๋เป็นเส้นชัย
006/806,Sec6: ไม่ทันแล้ว,ระบบตรวจจับความร้อนของเครื่องจักร,Use Ultrasonic Sensor Instead,4,4.0,OK,4.0,Two Types,5.0,Good,4.0,One collection,4.5,OK,3,OK,3,OK,31.5,3.0,0,sec6:ไม่ทันแล้ว
006/806,Sec6: ไม่บอกหรอก,ระบบตรวจจับจำนวนสินค้าจากระดับสินค้า,Ultrasonic Sensor,4,3.0,Confusing,3.0,OK,3.0,OK,3.0,One collection,3.0,OK,3,OK,3,OK,25.0,3.0,0,sec6:ไม่บอกหรอก
002/802,Sec2: QKO,ระบบตรวจจับลูกอมผิดปกติ,Image Classification สำหรับ สี บุบ ใช้ Ultrasonic สำหรับ ขนาด,4,4.0,OK,3.5,OK,4.0,OK,3.5,ONe collection,4.0,OK,3,OK,3,OK,29.0,3.0,0,sec2:qko
002/802,Sec2: Bob,ระบบเปิดปิดพัดลม,-,4,3.5,0,4.0,0,3.5,0,3.5,0,3.5,0,3,0,3,0,28.0,1.0,0,sec2:bob
002/802,Sec2: เวฟกระบะซิ่ง,ระบบควบคุมคุณภาพอากาศ เปิดปิดเครื่องฟอกอัตโนมัติ,-,4,3.5,0,3.5,OK,4.0,OK,3.5,0,3.5,0,3,0,3,0,28.0,1.0,0,sec2:เวฟกระบะซิ่ง
002/802,Sec2: ดอกไม้เบ่งบาน,ระบบคัดแยกกระดาษ,-,4,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,3,0,3,0,35.0,2.0,0,sec2:ดอกไม้เบ่งบาน
002/802,Sec2: อยากได้ชุดโกโกวา,ระบบคัด Lay,-,4,5.0,0,4.5,0,5.0,0,4.0,0,4.5,0,3,0,3,0,33.0,3.0,0,sec2:อยากได้ชุดโกโกวา
002/802,Sec2: duck pro,ระบบควบคุุมแสงในห้องปลูก Cactus,-,4,4.0,0,4.0,0,3.5,0,3.5,0,3.5,0,3,0,3,0,28.5,1.0,0,sec2:duckpro
002/802,Sec2: ดุดันไม่เกรงใจใคร,ระบบตรวจเครื่องจักรเสียจากการสั้น และค่าไฟฟ้า และอุณหภูมิ,จำลองไฟฟ้าด้วย + Temo ด้วย Fake Sensor,4,5.0,0,5.0,0,5.0,0,4.0,0,4.5,0,3,0,3,0,33.5,1.0,0,sec2:ดุดันไม่เกรงใจใคร
002/802,Sec2: Betty,ระบบตรวจอุณหภูมิและความซื้นในคลังเครื่องสำอางค์,ใช้ Mobile,4,4.0,0,5.0,0,5.0,0,4.0,0,4.0,0,3,0,3,0,32.0,4.0,0,sec2:betty
002/802,Sec2: มาสาม,ระบบแยกขยะในโรงงาน,-,4,4.5,0,4.0,0,4.0,0,5.0,0,4.5,0,3,0,3,0,32.0,1.0,0,sec2:มาสาม
005/805,Sec5: she served,ระบบตรวจจับชนิดผลไม่ในกล่องบรรจุ,-,4,4.0,OK,5.0,OK,4.0,OK,3.5,OK,4.0,0,3,0,3,0,30.5,4.0,0,sec5:sheserved
005/805,Sec5: หมี่เหลืองน่องไก่น้ำเนื้อพิเศษเส้น,ระบบเปิดปิดแอร์ถ้ามีคนและอุณหภูมิ,-,4,4.5,0,4.0,0,4.5,0,4.0,0,4.0,0,3,0,3,0,31.0,2.0,0,sec5:หมี่เหลืองน่องไก่น้ำเนื้อพิเศษเส้น
005/805,Sec5: 001,ระบบคัดแยกขวด,-,4,5.0,0,4.5,0,5.0,0,4.5,0,4.5,0,3,0,3,0,33.5,1.0,0,sec5:001
005/805,Sec5: ซีอิ๊วขาวแต่สีดำ,ระบบคัดสินค้า Lay,-,4,4.0,0,4.0,0,4.0,0,4.0,0,4.0,0,3,0,3,0,30.0,0.0,0,sec5:ซีอิ๊วขาวแต่สีดำ
005/805,Sec5: เรือกล้วย,ระบบคัดกล้วย,-,4,4.0,OK,4.5,2 Messages,4.0,OK,3.5,0,4.0,0,3,0,3,0,30.0,4.0,0,sec5:เรือกล้วย
005/805,Sec5: จั๋งดุ๋ง,ระบบตรวจเครื่องจักรเสียจากการสั้น และค่าไฟฟ้า,จำลองไฟฟ้าด้วย Fake Sensor,4,4.0,0,4.0,0,4.0,0,3.5,0,4.0,0,3,0,3,0,29.5,1.0,0,sec5:จั๋งดุ๋ง
005/805,Sec5: นางฟ้า,ระบบความปลอดภัยที่ตรวจการเข้าออกประตู,ตรวจหน้าคน,4,3.5,0,3.5,0,4.0,0,3.5,0,3.5,0,3,0,3,0,28.0,2.0,0,sec5:นางฟ้า
005/805,Sec5: เทพซ่า,ระบบ Checkin,ตรวจหน้าคน,4,4.0,0,3.5,0,3.5,0,2.5,0,3.5,0,3,0,3,0,27.0,1.0,0,sec5:เทพซ่า
005/805,Sec5: 002,ระบบคัดคุณอุณภูมิในคลังสินค้า,Fake,2,3.0,0,3.5,0,2.5,0,3.5,0,3.5,0,3,0,3,0,24.0,3.0,0,sec5:002
005/805,Sec5: ปุ๊ระเบิดขวด,ระบบตรวจจับแสง,-,0,3.5,0,3.5,0,2.5,No control,3.5,0,3.5,0,3,0,3,0,22.5,1.0,0,sec5:ปุ๊ระเบิดขวด
